,username,content,content_en,posted_time,pred_label,true_label
26,mi_chelecosta,"O tema de festa da criança de JPA é diferente... O Dani só tem dois anos e, acreditem se quiser, escolheu a festinha do brt amarelo que ele ama ! Ele está de uniforme de motorista e tudo  Adoro!","The JPA children's party theme is different... Dani is only two years old and, believe it or not, he chose the yellow brt party he loves! He is in a driver's uniform and everything I love!",2023-04-05 19:16:45,joy,joy
27,Iae_carlos06,Crlh vim de brt amarelo pra casa,Crlh I came home from yellow brt,2023-03-01 16:23:05,joy,joy
28,gabrielalvez,"Daqui a pouco eu arrumo um cargo público de tanto defender esse cara

Esse safado está asfaltando o Rj todo, as obras da av brasil pelo menos voltaram, uma porrada de brt amarelo na rua

Tem mta coisa pra acertar de infra estrutura na cidade, mas já melhorou 40%","In a little while I'll get a public job from defending this guy so much This bastard is asphalting the whole of Rj, the works on Av Brasil are at least back, a shitload of yellow BRT on the street There's a lot of infrastructure things to fix in the city, but already improved 40%",2023-03-04 8:02:17,joy,joy
29,ana_letici2,"brt amarelo por aqui, mas que luxo eu estou sonhando ","yellow brt around here, what a luxury I'm dreaming of",2023-03-02 10:34:55,joy,joy
30,pascalorian,o brt amarelo é tão superior,the yellow brt is so superior,2023-06-13 8:43:29,joy,joy
31,jswrter,"Alegria do pobre carioca é pegar o BRT amarelo, eu tô gelada de frio sendo que estava morrendo de calor no Santa Cruz","The joy of the poor carioca is taking the yellow BRT, I'm freezing cold since I was dying of heat in Santa Cruz",2023-06-03 11:54:25,anger,joy
32,Miranda_Duarda,esse brt amarelo tá um luxo em kkkkk q delícia,This yellow brt is a luxury in kkkkk what a delight,2023-04-15 21:57:33,joy,joy
33,sigurdsnake,edusrdo paes adorei o brt amarelo mas cade o 30 semidireto,edusrdo paes loved the yellow brt but where is the 30 semi-direct,2023-03-08 7:48:36,joy,joy
34,zoeperiferica,As pessoas registrando o primeiro BRT amarelo que pegam no fundão é uma vibe que são os periféricos entendem,People registering the first yellow BRT they take in the back is a vibe that the peripherals understand,2023-03-01 15:31:42,joy,joy
35,simonelopa1,"Podem falar o que for do 
@eduardopaes
, agora uma coisa é certa o cara tenta melhorar. O brt amarelo, vulgo abelhão é confortável. Agora na estação Alvorada posto de vacinação montado. O carioca precisa a aprender fazer sua parte.","You can say anything about @eduardopaes, now one thing is for sure, the guy tries to improve. The yellow brt, aka bumblebee is comfortable. Now at the Alvorada station, the vaccination post is set up. Cariocas need to learn to do their part.",2023-05-16 11:14:36,joy,joy
36,kahcc_,te amo brt amarelo te amo,i love you brt love it i love you,2023-04-03 15:23:43,love,love
37,johndofervo,Acho esse BRT amarelo tão bonitinho,I think this yellow BRT is so cute,2023-05-22 7:09:42,joy,joy
38,an_magnani,"o brt amarelo não vai chegar aqui nunca. não basta morar no fim do mundo, é a pior civilização em questão de zona. porra que inferno","the yellow brt will never get here. it's not enough to live at the end of the world, it's the worst civilization in terms of area. fuck hell",2023-03-22 13:17:22,sadness,sadness
39,learrrrrrn,a penha ali na moral emocionada dentro de um brt amarelo por ter acesso ao minimo!!!!!! obrigada prefeito,the penha there in the emotional moral inside a yellow brt for having access to the minimum!!!!!! thank you mayor,2023-03-02 10:49:43,sadness,sadness
40,silvyalopess,minha vida mudou depois q eu descobri que tem carregador de baixo de cada um dos bancos do brt amarelo eu nunca mais fui triste depois disso,my life changed after i found out that there is a charger underneath each of the yellow brt seats i was never sad after that,2023-04-18 18:35:14,sadness,joy
41,sadyeahboi,gente que luxo o brt amarelo,people who luxury the yellow brt,2023-03-09 22:59:18,joy,joy
42,Carioca19951993,"Eu vi um o brt amarelo na Dutra , altura da cidade de Taubaté SP.   Indo sentido Rio.","I saw a yellow brt on Dutra, near the city of Taubaté SP. Going towards Rio.",2023-03-18 9:49:02,fear,surprise
43,annabiatr_,meta desse ano= andar de brt amarelo,this year's goal = walk in yellow brt,2023-04-18 11:57:45,joy,joy
44,brilhinhx,Voltando pra casa de brt amarelo sentadinha hmmmmm,Coming home in yellow brt sitting down hmmmmm,2023-03-01 17:18:23,joy,joy
45,faelpx1,Esse BRT amarelo é uma benção kkkkkkk,This yellow BRT is a blessing lol,2023-04-11 18:37:49,joy,joy
46,yare_saikii,"Cheguei no ápice da pobreza por estar mto feliz pelo BRT amarelo novo mto lindo, amo meu país Rio de Janeiro","I reached the height of poverty because I was so happy for the new yellow BRT, so beautiful, I love my country Rio de Janeiro",2023-05-02 19:38:56,joy,joy
47,onurbmi_,brt amarelo vc sempre sera famoso,yellow brt you will always be famous,2023-05-03 10:40:31,joy,joy
48,Briciorc,"Sou usuário da transolimpica e alerto a todos para não caírem na ilusão do brt amarelo, só melhorou a questão do ar condicionado, sobre intervalos não mudou muita coisa, principalmente domingo intervalos longos, linhas que não rodam.","I'm a transolimpica user and I warn everyone not to fall into the illusion of the yellow brt, it only improved the air conditioning issue, about intervals not much has changed, especially on Sunday long intervals, lines that don't run.",2023-04-14 10:56:27,joy,sadness
49,_mathespindola,repúdio contra o BRT amarelo: a cara pra segurar tá alta demais,repudiation against the yellow BRT: the cost to hold it is too high,2023-03-31 16:59:10,sadness,sadness
50,nuneslaurah,Colocaram o brt amarelo p lá? Mds que sonho,Did they put the yellow brt there? my dream,2023-03-22 20:49:24,sadness,surprise
